Time (s),DIO 0
-9.6782946200000008,1
-9.6774612900000001,1
-9.6766279599999994,0
-9.6757946300000004,0
-9.6749612999999997,0
-9.6741279700000007,0
-9.6732946399999999,0
-9.672461310000001,0
-9.6716279800000002,0
-9.6707946499999995,0
-9.6699613200000005,0
-9.6691279899999998,0
-9.6682946600000008,1
-9.6674613300000001,1
-9.6666280000000011,1
-9.6657946700000004,1
-9.6649613399999996,1
-9.6641280100000007,1
-9.6632946799999999,1
-9.6624613500000009,1
-9.6616280200000002,1
-9.6607946899999995,1
-9.6599613600000005,0
-9.6591280299999998,0
-9.6582947000000008,0
-9.65746137,0
-9.6566280400000011,0
-9.6557947100000003,0
-9.6549613799999996,0
-9.6541280500000006,0
-9.6532947199999999,0
-9.6524613900000009,0
-9.6516280600000002,1
-9.6507947299999994,1
-9.6499614000000005,1
-9.6491280699999997,1
-9.6482947400000008,1
-9.64746141,1
-9.646628080000001,1
-9.6457947500000003,1
-9.6449614199999996,1
-9.6441280900000006,1
-9.6432947599999999,0
-9.6424614300000009,0
-9.6416281000000001,0
-9.6407947699999994,0
-9.6399614400000004,0
-9.6391281099999997,0
-9.6382947800000007,0
-9.63746145,0
-9.636628120000001,0
-9.6357947900000003,0
-9.6349614599999995,1
-9.6341281300000006,1
-9.6332947999999998,1
-9.6324614700000009,1
-9.6316281400000001,1
-9.6307948099999994,1
-9.6299614800000004,1
-9.6291281499999997,1
-9.6282948200000007,1
-9.62746149,1
-9.626628160000001,0
-9.6257948300000002,0
-9.6249614999999995,0
-9.6241281700000005,0
-9.6232948399999998,0
-9.6224615100000008,0
-9.6216281800000001,0
-9.6207948500000011,0
-9.6199615200000004,0
-9.6191281899999996,0
-9.6182948600000007,1
-9.6174615299999999,1
-9.616628200000001,1
-9.6157948700000002,1
-9.6149615399999995,1
-9.6141282100000005,1
-9.6132948799999998,1
-9.6124615500000008,1
-9.6116282200000001,1
-9.6107948900000011,1
-9.6099615600000003,0
-9.6091282299999996,0
-9.6082949000000006,0
